step,x,y,z
0,0,0,0
1,-1,0,0
2,0,0,0
3,0,-1,0
4,0,-1,0
5,1,-1,0
6,2,-1,0
7,2,0,0
8,2,-1,0
9,2,-1,0
10,2,-1,0
11,2,-2,0
12,2,-2,0
13,2,-3,0
14,2,-2,0
15,3,-2,0
16,3,-1,0
17,3,-1,0
18,3,-1,0
19,4,-1,0
20,4,0,0
21,4,1,0
22,3,1,0
23,3,2,0
24,3,1,0
25,3,1,0
26,3,0,0
27,3,-1,0
28,3,0,0
29,2,0,0
30,3,0,0
31,3,-1,0
32,3,-1,0
33,3,-1,0
34,3,-1,0
35,3,-2,0
36,3,-2,0
37,3,-2,0
38,3,-2,0
39,3,-1,0
40,3,-1,0
41,2,-1,0
42,2,-2,0
43,2,-2,0
44,1,-2,0
45,1,-3,0
46,1,-4,0
47,1,-3,0
48,1,-4,0
49,1,-3,0
50,1,-4,0
51,2,-4,0
52,1,-4,0
53,2,-4,0
54,2,-3,0
55,2,-3,0
56,2,-3,0
57,2,-2,0
58,2,-2,0
59,2,-1,0
60,2,-1,0
61,2,0,0
62,2,1,0
63,1,1,0
64,0,1,0
65,0,1,0
66,-1,1,0
67,-1,1,0
68,0,1,0
69,0,2,0
70,-1,2,0
71,0,2,0
72,0,2,0
73,0,3,0
74,1,3,0
75,1,2,0
76,1,1,0
77,2,1,0
78,2,2,0
79,1,2,0
80,1,3,0
81,2,3,0
82,2,3,0
83,2,2,0
84,2,1,0
85,2,1,0
86,2,1,0
87,2,1,0
88,1,1,0
89,1,1,0
90,1,0,0
91,1,1,0
92,1,0,0
93,1,-1,0
94,2,-1,0
95,2,0,0
96,2,0,0
97,2,-1,0
98,2,-1,0
99,3,-1,0
100,3,-2,0
101,3,-2,0
102,3,-2,0
103,3,-1,0
104,3,0,0
105,3,-1,0
106,3,-2,0
107,2,-2,0
108,2,-2,0
109,2,-1,0
110,2,-2,0
111,2,-1,0
112,2,-1,0
113,2,-1,0
114,2,0,0
115,3,0,0
116,2,0,0
117,2,0,0
118,2,0,0
119,2,0,0
120,3,0,0
121,3,-1,0
122,3,-1,0
123,3,0,0
124,4,0,0
125,4,1,0
126,5,1,0
127,4,1,0
128,4,2,0
129,4,1,0
130,3,1,0
131,3,1,0
132,4,1,0
133,4,1,0
134,5,1,0
135,5,0,0
136,5,0,0
137,5,0,0
138,5,-1,0
139,6,-1,0
140,6,-2,0
141,7,-2,0
142,7,-2,0
143,7,-1,0
144,7,-1,0
145,7,0,0
146,7,-1,0
147,6,-1,0
148,6,-1,0
149,6,-1,0
150,6,-1,0
151,5,-1,0
152,5,-2,0
153,5,-2,0
154,5,-1,0
155,4,-1,0
156,4,0,0
157,4,0,0
158,4,0,0
159,4,0,0
160,4,0,0
161,4,1,0
162,4,2,0
163,4,2,0
164,4,2,0
165,4,3,0
166,4,2,0
167,4,3,0
168,3,3,0
169,3,3,0
170,3,3,0
171,3,3,0
172,2,3,0
173,2,2,0
174,2,2,0
175,2,3,0
176,1,3,0
177,0,3,0
178,0,4,0
179,0,5,0
180,0,4,0
181,0,5,0
182,0,5,0
183,0,5,0
184,0,6,0
185,0,7,0
186,0,8,0
187,0,8,0
188,0,8,0
189,0,7,0
190,0,8,0
191,0,9,0
192,0,9,0
193,0,9,0
194,0,9,0
195,0,8,0
196,0,9,0
197,0,8,0
198,0,8,0
199,0,9,0
200,1,9,0
201,1,9,0
202,2,9,0
203,2,10,0
204,2,10,0
205,2,10,0
206,2,10,0
207,2,10,0
208,2,9,0
209,2,9,0
210,2,9,0
211,1,9,0
212,1,8,0
213,1,9,0
214,1,8,0
215,1,9,0
216,2,9,0
217,2,9,0
218,2,9,0
219,1,9,0
220,2,9,0
221,2,10,0
222,2,9,0
223,2,8,0
224,2,9,0
225,1,9,0
226,1,8,0
227,1,8,0
228,1,9,0
229,1,9,0
230,1,8,0
231,1,7,0
232,1,6,0
233,2,6,0
234,2,6,0
235,2,7,0
236,2,7,0
237,1,7,0
238,1,6,0
239,1,6,0
240,1,7,0
241,1,7,0
242,1,7,0
243,1,7,0
244,1,6,0
245,0,6,0
246,0,6,0
247,0,7,0
248,0,7,0
249,0,6,0
250,0,7,0
251,0,7,0
252,0,7,0
253,0,6,0
254,0,7,0
255,0,6,0
256,0,6,0
257,-1,6,0
258,-1,5,0
259,0,5,0
260,0,6,0
261,0,5,0
262,0,6,0
263,0,5,0
264,0,5,0
265,0,4,0
266,0,4,0
267,1,4,0
268,1,4,0
269,1,4,0
270,1,4,0
271,1,4,0
272,0,4,0
273,0,4,0
274,0,4,0
275,0,5,0
276,0,4,0
277,0,3,0
278,0,3,0
279,0,2,0
280,-1,2,0
281,-1,2,0
282,-1,3,0
283,-1,3,0
284,-1,2,0
285,-2,2,0
286,-3,2,0
287,-4,2,0
288,-4,1,0
289,-4,1,0
290,-4,1,0
291,-4,2,0
292,-5,2,0
293,-5,1,0
294,-6,1,0
295,-6,1,0
296,-5,1,0
297,-5,2,0
298,-5,1,0
299,-6,1,0
300,-7,1,0
301,-7,2,0
302,-7,3,0
303,-7,2,0
304,-7,2,0
305,-7,2,0
306,-7,2,0
307,-7,3,0
308,-8,3,0
309,-7,3,0
310,-7,4,0
311,-7,4,0
312,-7,3,0
313,-7,3,0
314,-7,3,0
315,-7,3,0
316,-7,3,0
317,-7,3,0
318,-7,2,0
319,-7,1,0
320,-7,2,0
321,-7,1,0
322,-7,0,0
323,-6,0,0
324,-6,-1,0
325,-6,0,0
326,-7,0,0
327,-7,1,0
328,-7,1,0
329,-7,2,0
330,-7,2,0
331,-8,2,0
332,-8,2,0
333,-8,2,0
334,-8,3,0
335,-8,4,0
336,-8,5,0
337,-8,5,0
338,-8,6,0
339,-8,5,0
340,-8,5,0
341,-8,5,0
342,-8,4,0
343,-8,3,0
344,-9,3,0
345,-9,2,0
346,-10,2,0
347,-9,2,0
348,-9,2,0
349,-10,2,0
350,-10,2,0
351,-9,2,0
352,-9,1,0
353,-9,1,0
354,-8,1,0
355,-8,2,0
356,-8,2,0
357,-8,2,0
358,-8,2,0
359,-8,1,0
360,-8,2,0
361,-8,3,0
362,-8,2,0
363,-8,1,0
364,-8,0,0
365,-8,0,0
366,-9,0,0
367,-9,0,0
368,-10,0,0
369,-11,0,0
370,-11,0,0
371,-11,0,0
372,-12,0,0
373,-12,1,0
374,-12,1,0
375,-12,1,0
376,-13,1,0
377,-14,1,0
378,-14,2,0
379,-14,2,0
380,-13,2,0
381,-13,1,0
382,-13,1,0
383,-13,2,0
384,-14,2,0
385,-14,3,0
386,-14,2,0
387,-14,3,0
388,-14,3,0
389,-15,3,0
390,-16,3,0
391,-16,2,0
392,-16,2,0
393,-17,2,0
394,-17,2,0
395,-17,2,0
396,-17,3,0
397,-17,2,0
398,-17,1,0
399,-17,1,0
400,-16,1,0
401,-16,1,0
402,-16,1,0
403,-16,2,0
404,-16,2,0
405,-16,2,0
406,-16,2,0
407,-16,3,0
408,-16,2,0
409,-15,2,0
410,-14,2,0
411,-14,1,0
412,-14,1,0
413,-13,1,0
414,-13,1,0
415,-13,1,0
416,-13,1,0
417,-13,1,0
418,-12,1,0
419,-11,1,0
420,-11,0,0
421,-11,-1,0
422,-11,-1,0
423,-11,-1,0
424,-12,-1,0
425,-12,-2,0
426,-12,-3,0
427,-12,-4,0
428,-12,-4,0
429,-12,-5,0
430,-12,-6,0
431,-12,-5,0
432,-11,-5,0
433,-10,-5,0
434,-10,-4,0
435,-9,-4,0
436,-9,-4,0
437,-9,-3,0
438,-8,-3,0
439,-8,-3,0
440,-8,-3,0
441,-7,-3,0
442,-7,-4,0
443,-7,-4,0
444,-7,-4,0
445,-7,-4,0
446,-7,-5,0
447,-7,-5,0
448,-7,-5,0
449,-7,-5,0
450,-7,-6,0
451,-8,-6,0
452,-8,-7,0
453,-9,-7,0
454,-9,-6,0
455,-9,-5,0
456,-10,-5,0
457,-10,-5,0
458,-10,-6,0
459,-11,-6,0
460,-10,-6,0
461,-10,-6,0
462,-10,-6,0
463,-10,-6,0
464,-10,-7,0
465,-10,-7,0
466,-9,-7,0
467,-8,-7,0
468,-7,-7,0
469,-7,-6,0
470,-8,-6,0
471,-8,-6,0
472,-8,-5,0
473,-7,-5,0
474,-7,-4,0
475,-7,-4,0
476,-8,-4,0
477,-8,-3,0
478,-8,-3,0
479,-8,-4,0
480,-8,-5,0
481,-8,-5,0
482,-9,-5,0
483,-9,-5,0
484,-8,-5,0
485,-8,-5,0
486,-9,-5,0
487,-9,-5,0
488,-9,-6,0
489,-9,-6,0
490,-9,-5,0
491,-10,-5,0
492,-10,-6,0
493,-10,-7,0
494,-10,-7,0
495,-10,-7,0
496,-10,-6,0
497,-10,-5,0
498,-10,-5,0
499,-10,-4,0
500,-11,-4,0
501,-10,-4,0
502,-9,-4,0
503,-9,-3,0
504,-9,-3,0
505,-8,-3,0
506,-8,-3,0
507,-8,-3,0
508,-8,-2,0
509,-8,-3,0
510,-8,-2,0
511,-8,-2,0
512,-9,-2,0
513,-9,-2,0
514,-9,-2,0
515,-10,-2,0
516,-10,-1,0
517,-10,-1,0
518,-10,-1,0
519,-10,-1,0
520,-9,-1,0
521,-9,0,0
522,-10,0,0
523,-10,0,0
524,-10,-1,0
525,-10,-1,0
526,-10,-2,0
527,-10,-3,0
528,-11,-3,0
529,-11,-4,0
530,-11,-3,0
531,-11,-3,0
532,-10,-3,0
533,-10,-2,0
534,-10,-3,0
535,-10,-3,0
536,-10,-4,0
537,-11,-4,0
538,-11,-3,0
539,-12,-3,0
540,-12,-4,0
541,-13,-4,0
542,-13,-4,0
543,-13,-3,0
544,-13,-4,0
545,-13,-3,0
546,-13,-3,0
547,-13,-3,0
548,-13,-4,0
549,-13,-5,0
550,-13,-4,0
551,-13,-3,0
552,-13,-3,0
553,-13,-2,0
554,-12,-2,0
555,-12,-3,0
556,-12,-4,0
557,-11,-4,0
558,-11,-4,0
559,-11,-3,0
560,-10,-3,0
561,-10,-3,0
562,-9,-3,0
563,-9,-3,0
564,-8,-3,0
565,-8,-4,0
566,-8,-3,0
567,-9,-3,0
568,-9,-4,0
569,-9,-5,0
570,-9,-4,0
571,-10,-4,0
572,-10,-4,0
573,-10,-4,0
574,-10,-3,0
575,-10,-4,0
576,-10,-4,0
577,-10,-3,0
578,-11,-3,0
579,-12,-3,0
580,-12,-4,0
581,-13,-4,0
582,-13,-3,0
583,-12,-3,0
584,-12,-3,0
585,-11,-3,0
586,-11,-2,0
587,-11,-2,0
588,-11,-2,0
589,-10,-2,0
590,-10,-2,0
591,-10,-2,0
592,-10,-2,0
593,-10,-3,0
594,-10,-2,0
595,-11,-2,0
596,-11,-1,0
597,-11,-2,0
598,-11,-2,0
599,-11,-2,0
600,-12,-2,0
601,-12,-3,0
602,-12,-2,0
603,-13,-2,0
604,-13,-3,0
605,-13,-3,0
606,-13,-3,0
607,-14,-3,0
608,-14,-2,0
